Comparison,Mean Diff (%),95% CI,Cohen's d,t-test p,Wilcoxon p
10-20 Model vs MaxUtil+EF1,2.01,"[1.93, 2.08]",3.29,1.45e-125 ***,1.20e-39 ***
10-20 Model vs Round-Robin,3.31,"[3.11, 3.51]",2.15,2.76e-88 ***,2.38e-39 ***
10-20 Model vs ECE,16.61,"[15.43, 17.78]",1.82,3.36e-75 ***,1.20e-39 ***
30-60 Model vs MaxUtil+EF1,2.20,"[2.09, 2.31]",2.62,3.45e-105 ***,1.20e-39 ***
30-60 Model vs Round-Robin,3.50,"[3.39, 3.61]",4.09,9.33e-146 ***,1.20e-39 ***
30-60 Model vs ECE,16.80,"[15.65, 17.95]",1.88,1.17e-77 ***,1.20e-39 ***
Multi-Obj Model vs MaxUtil+EF1,2.32,"[2.24, 2.39]",4.16,2.34e-147 ***,1.20e-39 ***
Multi-Obj Model vs Round-Robin,3.62,"[3.46, 3.78]",2.88,1.35e-113 ***,1.20e-39 ***
Multi-Obj Model vs ECE,16.92,"[15.75, 18.08]",1.88,1.90e-77 ***,1.20e-39 ***
10-20 Model vs 30-60 Model,-0.19,"[-0.31, -0.08]",-0.21,0.0015 **,9.45e-05 ***
10-20 Model vs Multi-Obj Model,-0.31,"[-0.36, -0.26]",-0.85,2.77e-29 ***,7.89e-25 ***
30-60 Model vs Multi-Obj Model,-0.12,"[-0.19, -0.04]",-0.19,0.0035 **,0.3933
